DUN0900	As ever, market trends are against the way of life of a marginalised community. 
DUN0961	Acting in this capacity, de Hory was a marvellous craftsman rather than an artist, but the product, what was that? 
DUN0962	What effect would de Hory's Chagalls have had on gallery experts, on connoisseurs, on ravished collectors? 
DUN0963	In what way would the quality of their experience be different from that provided by the original? 
DUN0964	All the aesthetes who've sat in front of Samson and Delilah over the years, working themselves up into a lather over the brushwork, what will they say if and when Rubens is declared innocent of the painting? 
DUN0965	They who have been moved, who claim to have been changed, how will they reconcile their new state to this betrayal? 
DUN0966	Picasso regularly used to be to be asked to authenticate works that were sold as his. 
DUN0967	He always refused ('There are too many Picassos around,' he said. 
DUN0968	'It depresses the price.') One time, he was told the piece he'd condemned as a fake was indeed from his own hand. 
DUN0969	'Sometimes I fake Picassos,' he said. 
DUN0970	That's an interesting idea. 
DUN0971	When he imitates his own mannerisms, he fakes himself. 
DUN0972	Yes, there is something in a masterpiece that speaks to us across the generations. 
DUN0973	The second- rate, or the third-rate, the brilliant copies and the awful fakes reveal themselves in time. 
DUN0974	A Madonna and child forgery from the 1920s became obvious, quite suddenly, 50 years afterwards, when the similarity between the Madonna and Clara Bow was observed for the first time. 
DUN0976	It is one of those media friendly terms that covers up a multitude. 
DUN0977	Alcohol- related illnesses. 
DUN0978	This week we were told that these illnesses are in danger of destroying the NHS and are responsible for 33,000 deaths every year, and that eight out of 10 people attending emergency units have alcohol related injuries. 
DUN0979	In a society that encourages us to escape pain rather than face it, alcohol is the favourite anaesthetic. 
DUN0980	Yet alcohol related illnesses doesn't have the 'oh my god', scare-you-witless, let's-find-a-cure-fa resonance of a word such as cancer or leukaemia, nor is it loaded with dread like the phrase sexually transmitted disease. 
DUN0981	How many people hear alcohol-related illness and think of a sick head in the morning, a transitory discomfort that will be gone by afternoon? 
DUN0982	Before I get going, let me enter an all too important caveat: I am not remotely anti-booze. 
DUN0983	God bless good wine and beer and whiskey, 'beakers full of the warm south with beaded bubbles winking at the brim and purple stained mouth' etc. 
DUN0985	Or as Flann O'Brien's 'poet of the people' put it when eulogising Guinness stout in the comic masterpiece At Swim Two Birds: 'When food is scarce and your larder bare, and no rashers grease your pan... a pint of plain is your only man.' 
DUN0986	If you can drink and not succumb to one of those mysterious alcohol-related illnesses, the best of luck to you. 
DUN0987	But if you are one of those whom booze seduces and then betrays, if you spend your days and nights chasing the warm rainbow, then this week's news should be very scary indeed. 
DUN0988	Are you the one in company who is watching the wine bottle and wondering whether the others will think it odd if you order another and then saying to hell with what they think? 
DUN0989	Or the one who sees a friend leaving a glass of wine unfinished and wonders what in God's name is wrong with them? 
DUN0990	Maybe you are the guy who wakes up and for a few terrifying minutes has no earthly idea where he is or what he did last night, or the woman who rolls over and looks into the face of a stranger and wonders if she will be able to get up and get dressed and escape before they wake. 
DUN0991	And if you have known that morning where nothing lifts you not beer or wine or whiskey then alcohol-related illness is already with you. 
DUN0992	It's screwing with your head and in time will get around to your body. 
DUN0993	That poor body. 
DUN0994	There's no end of misery that alcohol can bring. 
DUN0995	Liver, pancreas, heart, bowel slowly poisoned to death. 
DUN0996	That's usually well under way before the exterior starts falling apart: before pissing blood and the yellow pallor and parchment skin; before the amputated leg or the body immobilised by a stroke; before the brain reduced to mush from all those tides of booze washing over it down the years. 
DUN0997	I have been to the funerals of many friends who have fallen into alcoholic death. 
DUN0998	It is never, ever an easy death. 
DUN0999	Scrub from your mind forever the notion of a romantic drunkard's death, disregard every admiring profile you read of the rebellious drunken singer/poet. 
DUN09100	I read that rubbish and think of a man who choked to death on his own vomit, a man who died of heart failure and wasn't found for a week, the beautiful woman with an angel's voice found bloated and poisoned on her kitchen floor, a man who died far from those he loved in a small room in a town where nobody knew him. 
DUN09101	Every one of them left people behind burdened with the question: why? 
DUN09102	Alcohol-related illnesses. 
DUN09103	If you have ever visited a hospital for alcoholics on a weekend when the kids are visiting, you'll have seen the illness in its saddest and most cruel form. 
DUN09104	Take a lawn full of drunks and their families and contemplate the fact that at best only a quarter will recover from alcoholism. 
DUN09105	Regard every alcohol-related illness as a huge stone cast into a small pond, as a family broken and bewildered, made sick too by the disease in its midst. 
DUN09106	I agree with Alcohol Concern; there is no bigger health crisis facing Britain. 
DUN09107	Yet we remain curiously indifferent to the damage done to family life and the immense burden being placed on the health service. 
DUN09108	Ask any recovering alcoholic and they gladly accept that responsibility for their sobriety is theirs alone. 
DUN09109	But that is the rationale of a person who has made the first vital step towards recognising that a problem exists. 
DUN09110	The first obstacle is the chronic denial around alcoholic illness. 
DUN09111	It is everywhere around us, the elephant in the sitting room we refuse to acknowledge. 
DUN09112	Hardly a family in the land is unaffected by the problem most people know a cousin or a friend who battles with booze yet there was a sense of shock when this week's statistics were unveiled. 
DUN09114	It is difficult for families to face up to the issue in a society that is awash with denial. 
DUN09115	Booze is embedded in our national rituals, the socially acceptable drug. 
DUN09116	Far easier to rave on about heroin and junkies than to face alcohol addiction. 
DUN09117	Popular culture celebrates drunkenness (for a good example of what I mean, witness the moronic behaviour trotted out on ITV's Holiday Reps programme each week). 
DUN09118	We ban cigarette advertising from television but allow the continued flogging of booze. 
DUN09119	We have high-alcohol drinks cynically aimed at the most vulnerable I mean imagine the marketing strategy behind Special Brew. 
DUN09120	Just who is the target market? 
DUN09121	I can think of two immediate candidates: the young and the poor with little money who want to get pissed fast, and the alcoholic chasing oblivion. 
DUN09122	When victims of alcohol abuse get sick they find a medical system woefully ill equipped to deal with the crisis. 
DUN09123	Alcohol Concern carried out a survey last August that found that 71 per cent of doctors and nurses interviewed felt they had insufficient information to help dependent drinkers. 
DUN09124	You might imagine that, with alcohol costing the NHS 3bn a year, politicians might express a sense of urgency. 
DUN09125	But like the rest of us they are cocooned in denial. 
DUN09126	This isn't a crisis that can be solved with drugs. 
DUN09127	They can help you out of detox, but meaningful treatment depends on skilled counsellors. 
DUN09128	Right now we have a chronic shortage of hospital places for those suffering from alcoholic illnesses. 
DUN09129	We dry out the drunks and put them back on the street and they come back again and again. 
DUN09130	Many find their way into the criminal justice system. 
DUN09131	Not just the street drunks banged away for being drunk and disorderly, but also the businessmen and women hauled off to the cells because they've trashed the house or committed an assault, the man who kills in the middle of a blackout. 
DUN09132	I normally rush for the door when I hear a politician or civil servant droning on about 'co-ordinated strategy'. 
DUN09133	But the scale of damage being done by alcohol- related illness demands action across the widest range of areas. 
DUN09134	It means a huge increase in funding for alcoholism treatment and research and a willingness on the part of political leaders and the media to end the denial. 
DUN09135	We must talk about this stuff that kills so many, bring the healthcare professionals, the criminal justice system, the media and the drinks industry into a public debate. 
DUN09136	To the millions caught in the middle of this nightmare, something better is owed than the present dishonest shambles. 
